ID Transaksi,Tanggal,Kota Customer,Kategori,Nama Produk,Harga Satuan (IDR),Jumlah,Total Penjualan (IDR),Metode Pembayaran,Status Pesanan
TRX-2026-0080,2026-06-09,Denpasar,Elektronik,Wireless Earbuds,750000,1,750000,Transfer Bank,Selesai
TRX-2026-0081,2025-03-03,Medan,Kecantikan & Kesehatan,Serum Wajah Vitamin C,150000,5,750000,E-Wallet,Selesai
TRX-2026-0082,2025-06-26,Medan,Kecantikan & Kesehatan,Diffuser Aromaterapi,220000,1,220000,E-Wallet,Selesai
TRX-2026-0083,2025-09-22,Denpasar,Kecantikan & Kesehatan,Vitamin Multivitamin,180000,3,540000,QRIS,Dibatalkan
TRX-2026-0084,2025-05-24,Semarang,Elektronik,Wireless Earbuds,750000,4,3000000,Transfer Bank,Selesai
TRX-2026-0085,2026-04-14,Medan,Elektronik,Smartphone 5G,4500000,5,22500000,COD,Selesai
TRX-2026-0086,2025-07-05,Denpasar,Pakaian & Fashion,Jaket Denim,450000,5,2250000,E-Wallet,Dibatalkan
TRX-2026-0087,2025-08-23,Bandung,Pakaian & Fashion,Tas Ransel Laptop,350000,1,350000,QRIS,Selesai
TRX-2026-0088,2026-05-07,Jakarta,Elektronik,Monitor 27-inch,3200000,2,6400000,Transfer Bank,Selesai
TRX-2026-0089,2025-07-13,Semarang,Elektronik,Monitor 27-inch,3200000,3,9600000,COD,Selesai
TRX-2026-0090,2025-12-08,Medan,Elektronik,Smartphone 5G,4500000,5,22500000,Kartu Kredit,Selesai
TRX-2026-0091,2025-03-11,Medan,Peralatan Rumah,Blender Multi-fungsi,450000,5,2250000,Kartu Kredit,Diproses
TRX-2026-0092,2025-06-16,Bandung,Pakaian & Fashion,Jaket Denim,450000,3,1350000,E-Wallet,Dalam Pengiriman
TRX-2026-0093,2025-08-08,Makassar,Pakaian & Fashion,Tas Ransel Laptop,350000,4,1400000,COD,Dibatalkan
TRX-2026-0094,2025-12-27,Denpasar,Elektronik,Wireless Earbuds,750000,5,3750000,Kartu Kredit,Diproses
TRX-2026-0095,2026-05-20,Denpasar,Kecantikan & Kesehatan,Serum Wajah Vitamin C,150000,1,150000,Transfer Bank,Diproses
TRX-2026-0096,2025-04-27,Makassar,Pakaian & Fashion,Tas Ransel Laptop,350000,5,1750000,COD,Dalam Pengiriman
TRX-2026-0097,2025-05-29,Yogyakarta,Pakaian & Fashion,Gaun Casual,300000,3,900000,Kartu Kredit,Dalam Pengiriman
TRX-2026-0098,2025-08-15,Bandung,Kecantikan & Kesehatan,Serum Wajah Vitamin C,150000,2,300000,Transfer Bank,Selesai
TRX-2026-0099,2026-06-10,Denpasar,Peralatan Rumah,Air Fryer 4L,850000,5,4250000,E-Wallet,Dibatalkan
TRX-2026-0100,2025-01-12,Surabaya,Kecantikan & Kesehatan,Vitamin Multivitamin,180000,4,720000,COD,Selesai
TRX-2026-0101,2025-12-14,Medan,Pakaian & Fashion,Jaket Denim,450000,4,1800000,QRIS,Selesai
TRX-2026-0102,2025-02-10,Medan,Kecantikan & Kesehatan,Paket Skincare Set,450000,1,450000,Transfer Bank,Selesai
TRX-2026-0103,2026-04-06,Medan,Kecantikan & Kesehatan,Diffuser Aromaterapi,220000,5,1100000,E-Wallet,Dalam Pengiriman
TRX-2026-0104,2026-01-25,Surabaya,Peralatan Rumah,Set Alat Masak,600000,1,600000,QRIS,Selesai
TRX-2026-0105,2025-08-30,Bandung,Elektronik,Monitor 27-inch,3200000,1,3200000,Transfer Bank,Selesai
TRX-2026-0106,2025-08-12,Denpasar,Elektronik,Wireless Earbuds,750000,5,3750000,QRIS,Dibatalkan
TRX-2026-0107,2025-08-05,Makassar,Peralatan Rumah,Blender Multi-fungsi,450000,1,450000,COD,Selesai
TRX-2026-0108,2025-04-15,Bandung,Peralatan Rumah,Air Fryer 4L,850000,5,4250000,Kartu Kredit,Selesai
TRX-2026-0109,2026-03-13,Denpasar,Elektronik,Monitor 27-inch,3200000,5,16000000,QRIS,Selesai
TRX-2026-0110,2025-03-24,Jakarta,Elektronik,Smartphone 5G,4500000,1,4500000,E-Wallet,Dalam Pengiriman
TRX-2026-0111,2026-03-22,Jakarta,Elektronik,Laptop Workstation,12500000,4,50000000,QRIS,Selesai
TRX-2026-0112,2026-03-14,Makassar,Peralatan Rumah,Blender Multi-fungsi,450000,2,900000,Kartu Kredit,Selesai
TRX-2026-0113,2025-02-23,Medan,Elektronik,Wireless Earbuds,750000,1,750000,Transfer Bank,Dibatalkan
TRX-2026-0114,2025-10-30,Denpasar,Peralatan Rumah,Set Alat Masak,600000,5,3000000,QRIS,Selesai
TRX-2026-0115,2026-03-11,Denpasar,Pakaian & Fashion,Tas Ransel Laptop,350000,2,700000,QRIS,Selesai
TRX-2026-0116,2025-12-01,Bandung,Peralatan Rumah,Vacuum Cleaner Robot,2400000,4,9600000,Transfer Bank,Diproses
TRX-2026-0117,2026-04-26,Yogyakarta,Peralatan Rumah,Kipas Angin Digital,380000,2,760000,E-Wallet,Selesai
TRX-2026-0118,2025-05-13,Semarang,Kecantikan & Kesehatan,Sunscreen SPF 50,120000,1,120000,QRIS,Selesai
TRX-2026-0119,2026-05-23,Medan,Kecantikan & Kesehatan,Diffuser Aromaterapi,220000,2,440000,COD,Selesai
TRX-2026-0120,2025-07-24,Makassar,Peralatan Rumah,Blender Multi-fungsi,450000,3,1350000,E-Wallet,Dibatalkan
TRX-2026-0121,2025-07-02,Yogyakarta,Peralatan Rumah,Blender Multi-fungsi,450000,4,1800000,Kartu Kredit,Selesai
TRX-2026-0122,2025-07-14,Yogyakarta,Peralatan Rumah,Blender Multi-fungsi,450000,5,2250000,QRIS,Dalam Pengiriman
TRX-2026-0123,2025-02-20,Bandung,Elektronik,Monitor 27-inch,3200000,2,6400000,Kartu Kredit,Selesai
TRX-2026-0124,2026-06-18,Semarang,Pakaian & Fashion,Kemeja Formal,250000,5,1250000,Transfer Bank,Selesai
TRX-2026-0125,2025-12-12,Makassar,Pakaian & Fashion,Kemeja Formal,250000,2,500000,COD,Selesai
TRX-2026-0126,2025-03-14,Surabaya,Elektronik,Smartphone 5G,4500000,3,13500000,COD,Selesai
TRX-2026-0127,2025-01-26,Medan,Elektronik,Smartphone 5G,4500000,3,13500000,COD,Selesai
TRX-2026-0128,2025-10-30,Denpasar,Kecantikan & Kesehatan,Sunscreen SPF 50,120000,4,480000,QRIS,Dalam Pengiriman
TRX-2026-0129,2026-06-10,Bandung,Kecantikan & Kesehatan,Paket Skincare Set,450000,3,1350000,E-Wallet,Dibatalkan
TRX-2026-0130,2026-05-23,Semarang,Pakaian & Fashion,Jaket Denim,450000,3,1350000,E-Wallet,Dibatalkan
TRX-2026-0131,2025-07-11,Jakarta,Peralatan Rumah,Set Alat Masak,600000,4,2400000,QRIS,Dibatalkan
TRX-2026-0132,2025-09-30,Denpasar,Pakaian & Fashion,Jaket Denim,450000,4,1800000,Transfer Bank,Selesai
TRX-2026-0133,2026-06-09,Medan,Elektronik,Smartwatch,1800000,2,3600000,E-Wallet,Selesai
TRX-2026-0134,2025-04-19,Surabaya,Peralatan Rumah,Kipas Angin Digital,380000,2,760000,Transfer Bank,Selesai
TRX-2026-0135,2026-08-18,Surabaya,Elektronik,Monitor 27-inch,3200000,4,12800000,QRIS,Selesai
TRX-2026-0136,2026-03-19,Yogyakarta,Peralatan Rumah,Set Alat Masak,600000,5,3000000,Transfer Bank,Selesai
TRX-2026-0137,2026-03-13,Makassar,Elektronik,Smartwatch,1800000,3,5400000,Transfer Bank,Dibatalkan
TRX-2026-0138,2025-08-31,Denpasar,Kecantikan & Kesehatan,Diffuser Aromaterapi,220000,4,880000,QRIS,Selesai
TRX-2026-0139,2025-03-16,Medan,Peralatan Rumah,Air Fryer 4L,850000,3,2550000,Transfer Bank,Selesai
TRX-2026-0140,2026-01-27,Surabaya,Peralatan Rumah,Set Alat Masak,600000,4,2400000,COD,Diproses
TRX-2026-0141,2026-02-14,Makassar,Kecantikan & Kesehatan,Paket Skincare Set,450000,4,1800000,Transfer Bank,Selesai
TRX-2026-0142,2025-04-23,Medan,Peralatan Rumah,Air Fryer 4L,850000,2,1700000,COD,Diproses
TRX-2026-0143,2025-05-19,Denpasar,Kecantikan & Kesehatan,Diffuser Aromaterapi,220000,3,660000,E-Wallet,Selesai
TRX-2026-0144,2025-01-10,Semarang,Peralatan Rumah,Vacuum Cleaner Robot,2400000,4,9600000,QRIS,Dalam Pengiriman
TRX-2026-0145,2025-06-17,Surabaya,Kecantikan & Kesehatan,Serum Wajah Vitamin C,150000,5,750000,Transfer Bank,Selesai
TRX-2026-0146,2026-07-04,Denpasar,Peralatan Rumah,Air Fryer 4L,850000,5,4250000,Kartu Kredit,Selesai
TRX-2026-0147,2025-11-30,Semarang,Kecantikan & Kesehatan,Paket Skincare Set,450000,1,450000,QRIS,Selesai
TRX-2026-0148,2026-07-01,Jakarta,Kecantikan & Kesehatan,Vitamin Multivitamin,180000,5,900000,E-Wallet,Selesai
TRX-2026-0149,2025-08-17,Makassar,Kecantikan & Kesehatan,Paket Skincare Set,450000,5,2250000,COD,Dalam Pengiriman
TRX-2026-0150,2026-01-14,Makassar,Pakaian & Fashion,Tas Ransel Laptop,350000,1,350000,COD,Selesai
